Date,Revenue,Orders,Cancelled,Region,Product,Customer
2025-08-08,23247,28,1,North,Sentinel Core,Customer 072 Solutions
2025-08-08,79638,41,2,South,Forecast Studio,Customer 016 Solutions
2025-08-08,70784,28,0,East,Sentinel Core,Customer 068 Group
2025-08-08,179322,82,4,West,Risk Monitor,Customer 094 Solutions
2025-08-09,50213.14,42,3,South,Forecast Studio,Customer 050 Holdings
2025-08-09,302019.86,63,4,East,Sentinel Core,Customer 108 Group
2025-08-09,52311.87,14,1,West,Data Fabric,Customer 042 Systems
2025-08-09,281503.83,66,1,Central,Forecast Studio,Customer 095 Group
2025-08-10,312506.14,56,4,East,Sentinel Core,Customer 012 Solutions
2025-08-10,330214.59,72,6,West,Sentinel Core,Customer 064 Group
2025-08-10,77956.61,30,2,Central,Support Intelligence,Customer 018 Solutions
2025-08-10,66210.63,52,2,North,Risk Monitor,Customer 080 Industries
2025-08-11,212100.8,76,5,West,Executive Copilot,Customer 077 Solutions
2025-08-11,362966.78,78,4,Central,Forecast Studio,Customer 112 Holdings
2025-08-11,17995.59,14,1,North,Support Intelligence,Customer 098 Holdings
2025-08-11,49162.48,59,5,South,Data Fabric,Customer 115 Holdings
2025-08-12,42690.29,35,1,Central,Risk Monitor,Customer 073 Holdings
2025-08-12,224201.85,80,7,North,Data Fabric,Customer 078 Holdings
2025-08-12,79548.42,23,2,South,Sentinel Core,Customer 015 Group
2025-08-12,57669.49,15,0,East,Support Intelligence,Customer 070 Systems
2025-08-13,227712.83,46,1,North,Executive Copilot,Customer 116 Group
2025-08-13,173671.58,65,1,South,Sentinel Core,Customer 098 Holdings
2025-08-13,296120.95,76,1,East,Support Intelligence,Customer 001 Holdings
2025-08-13,177322.85,33,3,West,Support Intelligence,Customer 012 Solutions
2025-08-14,145657.2,83,4,South,Forecast Studio,Customer 002 Group
2025-08-14,69554.75,15,1,East,Risk Monitor,Customer 015 Group
2025-08-14,145576.9,52,3,West,Executive Copilot,Customer 009 Group
2025-08-14,129893.74,44,3,Central,Risk Monitor,Customer 020 Solutions
2025-08-15,169795.29,55,3,East,Risk Monitor,Customer 027 Systems
2025-08-15,97321.87,72,1,West,Data Fabric,Customer 014 Industries
2025-08-15,36868.06,16,0,Central,Forecast Studio,Customer 057 Systems
2025-08-15,222680.01,55,5,North,Forecast Studio,Customer 112 Holdings
2025-08-16,165563.07,31,2,West,Risk Monitor,Customer 120 Group
2025-08-16,418620.95,76,5,Central,Support Intelligence,Customer 026 Systems
2025-08-16,137835.19,55,3,North,Risk Monitor,Customer 007 Systems
2025-08-16,28693.52,17,1,South,Risk Monitor,Customer 067 Group
2025-08-17,204174.74,54,1,Central,Risk Monitor,Customer 070 Systems
2025-08-17,122869.59,29,1,North,Executive Copilot,Customer 019 Systems
2025-08-17,107123.09,57,2,South,Forecast Studio,Customer 042 Systems
2025-08-17,90423.76,29,1,East,Executive Copilot,Customer 005 Group
2025-08-18,179126.9,67,1,North,Data Fabric,Customer 088 Solutions
2025-08-18,86583.34,15,0,South,Support Intelligence,Customer 102 Solutions
2025-08-18,93887.22,28,1,East,Data Fabric,Customer 117 Group
2025-08-18,115982.75,23,1,West,Forecast Studio,Customer 006 Industries
2025-08-19,52289.42,41,3,South,Forecast Studio,Customer 086 Systems
2025-08-19,346177.45,81,4,East,Executive Copilot,Customer 099 Solutions
2025-08-19,190717.15,77,6,West,Sentinel Core,Customer 040 Systems
2025-08-19,98855.32,76,7,Central,Risk Monitor,Customer 063 Systems
2025-08-20,184546.64,35,0,East,Forecast Studio,Customer 113 Group
2025-08-20,99176.65,29,1,West,Support Intelligence,Customer 083 Industries
2025-08-20,171968.84,38,3,Central,Forecast Studio,Customer 091 Systems
2025-08-20,92827.86,19,1,North,Executive Copilot,Customer 022 Solutions
2025-08-21,342394.14,75,1,West,Risk Monitor,Customer 024 Solutions
2025-08-21,160416.04,65,4,Central,Support Intelligence,Customer 052 Solutions
2025-08-21,71938.74,59,2,North,Risk Monitor,Customer 064 Group
2025-08-21,75749.83,15,1,South,Risk Monitor,Customer 022 Solutions
2025-08-22,58285.69,53,2,Central,Data Fabric,Customer 028 Group
2025-08-22,437651.81,83,4,North,Sentinel Core,Customer 035 Systems
2025-08-22,140184.19,75,2,South,Sentinel Core,Customer 040 Systems
2025-08-22,235878.97,39,1,East,Forecast Studio,Customer 066 Group
2025-08-23,18310.78,19,2,North,Risk Monitor,Customer 035 Systems
2025-08-23,179763.07,69,5,South,Forecast Studio,Customer 080 Industries
2025-08-23,38696.68,29,1,East,Forecast Studio,Customer 013 Group
2025-08-23,175146.61,34,0,West,Support Intelligence,Customer 034 Solutions
2025-08-24,274889.41,69,3,South,Risk Monitor,Customer 090 Systems
2025-08-24,52511.02,15,1,East,Support Intelligence,Customer 036 Solutions
2025-08-24,179520.29,34,2,West,Executive Copilot,Customer 051 Systems
2025-08-24,322085.68,72,1,Central,Forecast Studio,Customer 005 Group
2025-08-25,106333.98,36,2,East,Risk Monitor,Customer 119 Industries
2025-08-25,246072.27,61,5,West,Sentinel Core,Customer 069 Solutions
2025-08-25,153585.97,49,4,Central,Risk Monitor,Customer 089 Group
2025-08-25,228943.35,38,2,North,Risk Monitor,Customer 108 Group
2025-08-26,95261.73,22,1,West,Forecast Studio,Customer 019 Systems
2025-08-26,20244.4,15,1,Central,Forecast Studio,Customer 092 Systems
2025-08-26,196592.8,47,4,North,Risk Monitor,Customer 022 Solutions
2025-08-26,287778.6,62,1,South,Forecast Studio,Customer 083 Industries
2025-08-27,363844.51,80,3,Central,Forecast Studio,Customer 050 Holdings
2025-08-27,63992.23,23,1,North,Forecast Studio,Customer 073 Holdings
2025-08-27,58115.89,55,4,South,Sentinel Core,Customer 103 Systems
2025-08-27,80103.29,43,3,East,Executive Copilot,Customer 090 Systems
2025-08-28,20603.4,20,1,North,Executive Copilot,Customer 109 Industries
2025-08-28,96053.31,30,1,South,Data Fabric,Customer 052 Solutions
2025-08-28,440372.82,78,1,East,Data Fabric,Customer 071 Industries
2025-08-28,55075.19,15,1,West,Support Intelligence,Customer 016 Solutions
2025-08-29,274246.31,82,2,South,Support Intelligence,Customer 058 Systems
2025-08-29,128595.74,26,2,East,Support Intelligence,Customer 091 Systems
2025-08-29,104050.91,41,4,West,Executive Copilot,Customer 093 Holdings
2025-08-29,170982.43,34,3,Central,Support Intelligence,Customer 084 Group
2025-08-30,179541.9,38,3,East,Support Intelligence,Customer 104 Group
2025-08-30,69549.45,26,1,West,Support Intelligence,Customer 021 Systems
2025-08-30,358617.83,82,2,Central,Data Fabric,Customer 085 Systems
2025-08-30,307070.23,76,5,North,Data Fabric,Customer 065 Holdings
2025-08-31,317202.04,65,2,West,Executive Copilot,Customer 111 Systems
2025-08-31,294275.65,82,4,Central,Executive Copilot,Customer 089 Group
2025-08-31,270594.49,83,5,North,Executive Copilot,Customer 063 Systems
2025-08-31,461161.58,84,5,South,Risk Monitor,Customer 087 Systems
2025-09-01,239290.27,74,6,Central,Forecast Studio,Customer 020 Solutions
2025-09-01,312062.91,51,2,North,Forecast Studio,Customer 053 Systems
2025-09-01,109419.14,79,3,South,Executive Copilot,Customer 085 Systems
2025-09-01,217644.37,71,5,East,Forecast Studio,Customer 025 Systems
2025-09-02,328981.68,76,2,North,Support Intelligence,Customer 070 Systems
2025-09-02,200715.6,83,4,South,Data Fabric,Customer 027 Systems
2025-09-02,237028.89,65,4,East,Sentinel Core,Customer 075 Group
2025-09-02,90460.58,71,5,West,Sentinel Core,Customer 062 Systems
2025-09-03,165417.87,33,2,South,Forecast Studio,Customer 059 Group
2025-09-03,382772.26,83,2,East,Risk Monitor,Customer 096 Holdings
2025-09-03,264007.23,67,2,West,Executive Copilot,Customer 092 Systems
2025-09-03,26461.13,27,2,Central,Risk Monitor,Customer 071 Industries
2025-09-04,332136.35,72,6,East,Support Intelligence,Customer 007 Systems
2025-09-04,85627.43,24,2,West,Data Fabric,Customer 018 Solutions
2025-09-04,121554.86,39,1,Central,Support Intelligence,Customer 063 Systems
2025-09-04,179303.86,27,0,North,Data Fabric,Customer 073 Holdings
2025-09-05,185862.7,72,2,West,Data Fabric,Customer 067 Group
2025-09-05,71449.3,21,1,Central,Executive Copilot,Customer 059 Group
2025-09-05,109397.34,71,1,North,Sentinel Core,Customer 083 Industries
2025-09-05,226936.38,79,3,South,Sentinel Core,Customer 005 Group
2025-09-06,90474.93,32,1,Central,Support Intelligence,Customer 076 Solutions
2025-09-06,39079.02,20,0,North,Executive Copilot,Customer 010 Systems
2025-09-06,278526.82,64,4,South,Sentinel Core,Customer 001 Holdings
2025-09-06,138059.82,80,6,East,Risk Monitor,Customer 008 Solutions
2025-09-07,116828.89,30,2,North,Risk Monitor,Customer 120 Group
2025-09-07,43427.25,46,3,South,Risk Monitor,Customer 014 Industries
2025-09-07,143744.34,33,0,East,Risk Monitor,Customer 057 Systems
2025-09-07,321324.77,66,3,West,Sentinel Core,Customer 001 Holdings
2025-09-08,133661.75,32,2,South,Data Fabric,Customer 064 Group
2025-09-08,116376.56,39,1,East,Forecast Studio,Customer 080 Industries
2025-09-08,194205.33,35,2,West,Sentinel Core,Customer 034 Solutions
2025-09-08,39208.53,14,1,Central,Support Intelligence,Customer 087 Systems
2025-09-09,112048.53,24,1,East,Sentinel Core,Customer 061 Holdings
2025-09-09,108882.76,50,2,West,Executive Copilot,Customer 039 Industries
2025-09-09,203859.29,42,3,Central,Support Intelligence,Customer 061 Holdings
2025-09-09,56558.04,21,0,North,Executive Copilot,Customer 097 Industries
2025-09-10,105428.01,48,4,West,Executive Copilot,Customer 060 Systems
2025-09-10,226980.21,68,1,Central,Sentinel Core,Customer 012 Solutions
2025-09-10,191030.16,77,2,North,Support Intelligence,Customer 114 Holdings
2025-09-10,125887.11,20,0,South,Forecast Studio,Customer 010 Systems
2025-09-11,465505.16,77,2,Central,Data Fabric,Customer 035 Systems
2025-09-11,231154.63,76,3,North,Executive Copilot,Customer 073 Holdings
2025-09-11,304395.64,58,1,South,Support Intelligence,Customer 093 Holdings
2025-09-11,323551.4,63,3,East,Executive Copilot,Customer 120 Group
2025-09-12,198633.07,70,1,North,Data Fabric,Customer 076 Solutions
2025-09-12,281935.46,71,5,South,Support Intelligence,Customer 086 Systems
2025-09-12,260682.52,50,1,East,Executive Copilot,Customer 096 Holdings
2025-09-12,66524.1,47,3,West,Support Intelligence,Customer 072 Solutions
2025-09-13,220177.43,35,1,South,Risk Monitor,Customer 105 Industries
2025-09-13,227724.52,43,3,East,Data Fabric,Customer 015 Group
2025-09-13,74758.18,43,2,West,Sentinel Core,Customer 085 Systems
2025-09-13,222424.94,39,3,Central,Support Intelligence,Customer 037 Solutions
2025-09-14,128027.93,26,1,East,Support Intelligence,Customer 075 Group
2025-09-14,43065.58,24,2,West,Sentinel Core,Customer 068 Group
2025-09-14,408721.01,66,4,Central,Support Intelligence,Customer 042 Systems
2025-09-14,182454.17,51,3,North,Sentinel Core,Customer 086 Systems
2025-09-15,49476.82,33,2,West,Forecast Studio,Customer 023 Group
2025-09-15,99558.47,51,2,Central,Support Intelligence,Customer 072 Solutions
2025-09-15,99757.15,16,0,North,Executive Copilot,Customer 118 Industries
2025-09-15,181389.41,66,2,South,Data Fabric,Customer 010 Systems
2025-09-16,235930.37,81,3,Central,Sentinel Core,Customer 028 Group
2025-09-16,82021.27,22,1,North,Risk Monitor,Customer 016 Solutions
2025-09-16,39581.31,39,1,South,Forecast Studio,Customer 030 Systems
2025-09-16,322632.85,84,5,East,Sentinel Core,Customer 036 Solutions
2025-09-17,56983.56,25,2,North,Risk Monitor,Customer 119 Industries
2025-09-17,120988.67,46,3,South,Executive Copilot,Customer 034 Solutions
2025-09-17,88905.11,15,1,East,Data Fabric,Customer 001 Holdings
2025-09-17,86741.66,35,2,West,Support Intelligence,Customer 043 Industries
2025-09-18,103825.12,33,3,South,Data Fabric,Customer 012 Solutions
2025-09-18,47175.17,33,3,East,Support Intelligence,Customer 007 Systems
2025-09-18,67306.33,27,2,West,Forecast Studio,Customer 060 Systems
2025-09-18,60400.11,46,3,Central,Risk Monitor,Customer 094 Solutions
2025-09-19,308807.69,77,6,East,Forecast Studio,Customer 069 Solutions
2025-09-19,228594.32,58,4,West,Support Intelligence,Customer 001 Holdings
2025-09-19,286365.83,50,1,Central,Support Intelligence,Customer 043 Industries
2025-09-19,109575.99,30,1,North,Risk Monitor,Customer 053 Systems
2025-09-20,42322.57,19,1,West,Forecast Studio,Customer 105 Industries
2025-09-20,98467.76,20,1,Central,Sentinel Core,Customer 115 Holdings
2025-09-20,220242.98,47,2,North,Executive Copilot,Customer 057 Systems
2025-09-20,433420,65,1,South,Data Fabric,Customer 088 Solutions
2025-09-21,32066.78,19,1,Central,Executive Copilot,Customer 095 Group
2025-09-21,89760.77,18,1,North,Sentinel Core,Customer 029 Systems
2025-09-21,57558.49,43,2,South,Risk Monitor,Customer 103 Systems
2025-09-21,288960.85,46,2,East,Risk Monitor,Customer 008 Solutions
2025-09-22,127124.77,21,2,North,Executive Copilot,Customer 082 Group
2025-09-22,310132.5,62,3,South,Data Fabric,Customer 034 Solutions
2025-09-22,188182.98,29,1,East,Data Fabric,Customer 087 Systems
2025-09-22,270850.19,48,1,West,Support Intelligence,Customer 012 Solutions
2025-09-23,179588.18,66,5,South,Data Fabric,Customer 050 Holdings
2025-09-23,394409.31,85,4,East,Forecast Studio,Customer 030 Systems
2025-09-23,105264.11,37,1,West,Executive Copilot,Customer 080 Industries
2025-09-23,68731.35,61,5,Central,Executive Copilot,Customer 022 Solutions
