id,customer_number,company_name,industry,email,phone,country,region,status
411954a7-3aa4-5061-a453-0ceb1c8258f7,CUS-00001,Rose Group,Financial Services,procurement1@customer.example,(794)346-3583x7803,United States,Midwest,active
59404051-6e1f-5c07-92ce-c1b7d5876fc1,CUS-00002,"Hoffman, Rodriguez and Doyle",Telecommunications,procurement2@customer.example,001-311-241-2011x7433,United States,West,active
a4fe1d50-055c-55b0-865e-a4d94101c9a6,CUS-00003,Jones Group,Financial Services,procurement3@customer.example,948-810-1836x43091,United States,Midwest,active
4045a68b-1241-5c21-8e3a-549371864bb8,CUS-00004,"Ramsey, Jacobs and Stevens",Retail,procurement4@customer.example,(260)986-3861,United States,West,active
00d1bcd5-ebf3-50a2-a791-067e9cd2a147,CUS-00005,Barajas Group,Financial Services,procurement5@customer.example,252.282.2236x620,United States,Midwest,active
038b44e4-f191-5366-b99c-2c5aeddbb13b,CUS-00006,Steele and Sons,Retail,procurement6@customer.example,542.743.1209x26754,United States,West,active
eace5daf-67c4-5404-840f-64be4f98d51e,CUS-00007,Haas Group,Financial Services,procurement7@customer.example,2614616486,United States,West,active
74cf633d-26d0-5c3c-9200-656f0fe1bab7,CUS-00008,Chen Group,Healthcare,procurement8@customer.example,001-432-673-3768x675,United States,Northeast,prospect
d30c325b-2b58-5f3b-a941-2b9af3f064ce,CUS-00009,Ward-Woodward,Technology,procurement9@customer.example,237.747.4078,United States,Northeast,active
12ebb61a-7a75-5376-aab2-7ceb1eeaaa74,CUS-00010,Wright-Schneider,Transportation,procurement10@customer.example,749.993.8874,United States,Midwest,active
65020f95-50fa-5b24-a17f-70eb235d9ae1,CUS-00011,Clayton Group,Transportation,procurement11@customer.example,(822)632-6351x233,United States,West,active
ea6e9bfa-4eb3-55fb-aff4-4401646d50ef,CUS-00012,Berry-Nichols,Financial Services,procurement12@customer.example,5237164182,United States,West,active
68eb2f5b-2bea-5024-94a5-93b5f4e1218d,CUS-00013,Strickland-Mann,Financial Services,procurement13@customer.example,(797)475-3372x510,United States,West,prospect
4b4ddf72-a9a0-5739-b72a-501b484a6f70,CUS-00014,"Rodriguez, Jackson and Gonzales",Healthcare,procurement14@customer.example,412-245-7203x140,United States,Southeast,active
2d768cb8-e8f9-5822-8a73-8e550ffaef36,CUS-00015,Brooks Inc,Technology,procurement15@customer.example,+1-488-505-0810x251,United States,West,active
320fdc16-d569-5a9b-9ab3-f605ebdf7411,CUS-00016,"Owens, Odom and Marshall",Financial Services,procurement16@customer.example,4657742464,United States,Southeast,prospect
a88055ea-7157-5cae-8a22-4a16e9df8b14,CUS-00017,Hughes-Solis,Manufacturing,procurement17@customer.example,001-859-205-1956x702,United States,Northeast,active
c871b9d2-5aba-572d-af22-8b861bacda77,CUS-00018,Martin-Hawkins,Transportation,procurement18@customer.example,8124019252,United States,Southwest,active
9151b88d-025c-5d8c-b6f6-f1e7d1472395,CUS-00019,Duncan LLC,Financial Services,procurement19@customer.example,001-434-941-0290,United States,Midwest,active
727345d1-4693-517b-a329-04edd848b658,CUS-00020,Clark Ltd,Healthcare,procurement20@customer.example,707-355-6856x56111,United States,Northeast,active
9bcd00fc-0f4b-54d1-992f-efd5492c5d04,CUS-00021,"Schmitt, Berg and Schultz",Professional Services,procurement21@customer.example,331-526-5038,United States,Northeast,active
0b2f3f22-e79e-5501-a57c-833467001154,CUS-00022,"Perry, Marquez and Hooper",Telecommunications,procurement22@customer.example,4357069040,United States,West,active
415a7e2b-2d6c-58af-929c-f2d3d93d593d,CUS-00023,"Obrien, Campbell and Parker",Professional Services,procurement23@customer.example,001-838-450-5373x9020,United States,Southeast,inactive
4b7ba232-e074-5665-806c-2804861df655,CUS-00024,"Warner, Jones and Smith",Financial Services,procurement24@customer.example,(940)556-4886x82980,United States,Midwest,active
ddd5d6f4-4a6d-5157-a994-b4656ff3daf6,CUS-00025,Matthews Group,Telecommunications,procurement25@customer.example,+1-812-834-8380x2920,United States,Southwest,active
ce0413ce-813a-5b58-badb-103775b6d962,CUS-00026,Byrd-Becker,Retail,procurement26@customer.example,7516310870,United States,Northeast,active
e67cb05f-774e-56d3-92c5-d1c5b33ddb46,CUS-00027,Griffith-Marsh,Professional Services,procurement27@customer.example,001-890-640-9561x30547,United States,West,active
fe2f969a-cf60-55d6-bd36-5fcf029e68ab,CUS-00028,Morgan Group,Technology,procurement28@customer.example,641.657.8346,United States,Southeast,active
5b77eb0f-fbc0-5382-865a-db5941867a32,CUS-00029,"Bell, Watson and Harris",Transportation,procurement29@customer.example,001-929-355-8799,United States,Southeast,active
5eec2e12-42ee-500b-9664-ed7cef2230f3,CUS-00030,"Padilla, Walker and Kelly",Healthcare,procurement30@customer.example,001-980-324-2856,United States,Midwest,prospect
da57bf8f-6000-5f3b-92db-f6c8f58424db,CUS-00031,"Martinez, Jones and Silva",Retail,procurement31@customer.example,+1-735-541-0137x3089,United States,Midwest,active
62a26102-6613-5975-b5a6-f361a51ef984,CUS-00032,Coffey Group,Technology,procurement32@customer.example,5756553227,United States,Midwest,active
a76466ab-21e2-5a4b-adb9-b0697c29e49b,CUS-00033,"Patel, Rogers and Harrington",Telecommunications,procurement33@customer.example,+1-952-532-9839x097,United States,Midwest,active
c45e7545-e687-59bc-bfcb-8aa1781a915a,CUS-00034,Price and Sons,Transportation,procurement34@customer.example,+1-998-494-8651,United States,West,prospect
93284c51-89ec-5b3a-9213-6c86ea224de2,CUS-00035,Wolfe Ltd,Manufacturing,procurement35@customer.example,654.360.6371x842,United States,West,active
e8a1b9ba-35c1-529a-943b-1259db57e727,CUS-00036,Thomas Group,Professional Services,procurement36@customer.example,700-909-2538x18139,United States,West,active
030d6a9b-4f25-5c78-aaee-abe5875bec1f,CUS-00037,Richards-Hall,Professional Services,procurement37@customer.example,416-917-5430,United States,Northeast,active
a6f70166-edcc-569f-adb2-32e1010cdc1e,CUS-00038,Lucero-Soto,Telecommunications,procurement38@customer.example,503.537.6328x220,United States,Southeast,active
bf320b53-233b-52d0-9acb-443e2fd61e84,CUS-00039,Durham-Byrd,Transportation,procurement39@customer.example,514.366.8282,United States,West,active
bb4f2014-1d85-5b1a-9334-b4287fc4dd1d,CUS-00040,"Hicks, Chang and Luna",Financial Services,procurement40@customer.example,+1-597-685-4786x6532,United States,Southeast,active
820f14e9-3ca8-5809-ad98-f704954f8e55,CUS-00041,"Hughes, Rodriguez and Combs",Telecommunications,procurement41@customer.example,001-927-741-0408x79978,United States,Southwest,inactive
71bffb0b-1248-57ce-bee3-6f5ef54b1bfc,CUS-00042,Wilson LLC,Healthcare,procurement42@customer.example,7275395795,United States,Northeast,active
8f063b1c-877c-506b-88d7-67009830268c,CUS-00043,Riley Ltd,Retail,procurement43@customer.example,9636165565,United States,Midwest,active
58fc2c64-d99b-59ae-a357-f14e3c9a8658,CUS-00044,Gallegos-Jones,Healthcare,procurement44@customer.example,001-708-977-0844,United States,Northeast,active
330fc81d-4b93-5eee-a4c6-c7a662017c96,CUS-00045,"Lee, Mckee and Hill",Healthcare,procurement45@customer.example,771.674.6821,United States,Southeast,active
f35c94b5-66ed-5ba9-9a85-f01472c4c269,CUS-00046,Bright Ltd,Financial Services,procurement46@customer.example,(716)499-7568,United States,West,prospect
b46bc77e-022a-5d37-ac07-9ac9b31cc704,CUS-00047,Haynes-Morris,Telecommunications,procurement47@customer.example,4018644366,United States,Southeast,inactive
d9654a4c-376a-5bc2-92ca-51f4276b990a,CUS-00048,Gill LLC,Transportation,procurement48@customer.example,569.611.4946,United States,Northeast,active
e45ca602-8e8b-569b-a3d0-0ca587abad08,CUS-00049,Gonzalez LLC,Telecommunications,procurement49@customer.example,(388)371-1456,United States,Midwest,prospect
39a5c003-4cc5-5083-a9c8-392d8505d3f9,CUS-00050,Perry Ltd,Manufacturing,procurement50@customer.example,+1-652-539-6880,United States,Southeast,active
38dedefe-ab38-5ff1-b6cc-24a5f4e95f8c,CUS-00051,"Williams, Wilson and Floyd",Technology,procurement51@customer.example,001-895-632-7177x256,United States,West,active
1ed6801c-2884-5f46-b43a-cafefde74591,CUS-00052,"Rogers, Sims and Phillips",Telecommunications,procurement52@customer.example,620-788-7311,United States,Southeast,active
02fd1e04-d5ac-5004-a5c4-72fccf654ea6,CUS-00053,Hughes-Lopez,Retail,procurement53@customer.example,001-858-515-8260x1052,United States,West,active
