id,warehouse_id,product_id,quantity_on_hand,quantity_reserved
01ec3b65-571c-59b1-8131-47177ff126a4,d61bead2-0544-5c10-af89-1f294f977280,1fa2b768-1b9d-5b9c-befa-fac1ccb97563,158,19
fc5f3cf9-d34a-5550-acd5-b14fdfd8f3d0,d61bead2-0544-5c10-af89-1f294f977280,829935ce-9ec7-5afb-a542-873877c9ce31,95,23
91ce00a0-8a42-5915-98f3-6d282d9dc7f5,d61bead2-0544-5c10-af89-1f294f977280,0137b3c3-db39-5e56-abf7-8ae43bc349ad,173,3
8d53b3fa-1012-5d94-a309-2052ea2478f1,d61bead2-0544-5c10-af89-1f294f977280,9b6b9203-f582-59b6-b64c-309881607c86,96,18
5949f0fa-7a45-5ec1-80e9-bb94f0ab9ff3,d61bead2-0544-5c10-af89-1f294f977280,1657c1e2-1668-5957-a5e5-822140c08707,141,20
cdbb92db-6d31-5711-af23-2f19bfe2c3a9,d61bead2-0544-5c10-af89-1f294f977280,1760c2e4-563f-5bac-abcd-baf5317434c8,115,9
b0656b55-a018-56fb-aa21-d381c2d4c75a,d61bead2-0544-5c10-af89-1f294f977280,e691a6a3-7dd7-5d95-b97e-997e3af77227,151,14
e5b818c0-5aca-5740-912b-6e2c99b9c384,d61bead2-0544-5c10-af89-1f294f977280,f78fc905-81d2-5f52-8c77-1cff3a4b42b7,7,5
5d3b721a-9c69-5281-961b-b882cfb38d61,d61bead2-0544-5c10-af89-1f294f977280,6469a098-75a3-5b3b-839a-ad075a8e67ad,105,25
20bd3364-7def-5dfb-87ae-d5f0a5261d15,d61bead2-0544-5c10-af89-1f294f977280,86eda21c-1dbc-500a-9201-b7d6b0786cc8,145,20
0ebfdb5e-fedd-5282-8649-d9e5b494d730,d61bead2-0544-5c10-af89-1f294f977280,39cb20a1-5dca-5b11-90c4-3e96e441ed0c,109,1
4ac3887f-6d46-5452-b374-ec95bef9dde7,d61bead2-0544-5c10-af89-1f294f977280,2f2113cc-589a-55b5-846a-78fddce3a3c9,101,8
928af0b9-af9b-558b-8ddf-dff982c52d4d,d61bead2-0544-5c10-af89-1f294f977280,b6464168-fc86-5543-9805-0861ea9c66cc,105,20
9a59e4e4-e39c-5765-bf31-577db12ad2a3,d61bead2-0544-5c10-af89-1f294f977280,c2be7cd9-f7ee-544a-9ceb-7052826da8ce,78,8
1a5fd313-ceed-58a7-9ddf-b806153b666f,d61bead2-0544-5c10-af89-1f294f977280,4dbc0e6b-ab10-5b67-a928-f87e1ed2bb9a,122,6
bd7bcdb8-e76c-5f11-b6d2-ff52c2a022d8,d61bead2-0544-5c10-af89-1f294f977280,0caef625-914f-5fea-8e59-19b212bfbd46,93,9
