id,name,description
10d397cd-be20-59ab-afe6-a98afd720c37,Analytics,Enterprise analytics solutions and services.
36984dba-5c9e-5a8b-9855-aa96c6795add,Automation,Enterprise automation solutions and services.
76c04eda-8007-536b-8b18-4381cc71212a,Collaboration,Enterprise collaboration solutions and services.
73c5b74f-2c54-5f61-9368-e981da7d3f6e,Compliance,Enterprise compliance solutions and services.
6c4e8c97-75ed-55f4-a44d-a47a6aa67956,Data Infrastructure,Enterprise data infrastructure solutions and services.
709e0311-24b2-50de-926e-b3505a47b6d7,Finance,Enterprise finance solutions and services.
288a9bba-2ad7-5ff3-9ca3-0c3dc3729fb7,Operations,Enterprise operations solutions and services.
d1f6ee56-d871-5e7e-b8c6-34cfea5d2a60,Security,Enterprise security solutions and services.
afa4681b-b69c-5175-a7b7-af9246380130,Support,Enterprise support solutions and services.
c86bca2a-69aa-58fb-9b94-2491f43c9e4c,Workforce,Enterprise workforce solutions and services.
